,Date,Time,Location,Sub-location,Source,Notes,Longitude,Latitude,Postal,Area
154,2021-05-17,1505h - 2100h,Westgate (3 Gateway Drive) ,Pizza Hut,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25,103.742722109979,1.3342947893069599,NIL,Jurong East
155,2021-05-17,1530h - 1615h,Sun Plaza (30 Sembawang Drive) ,NTUC FairPrice,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21,103.81946210281201,1.4482265381827502,757713,Sembawang
156,2021-05-17,1845h - 1945h,Hair Label Salon (57A New Upper Changi Road),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01,103.94128871490999,1.32371678676906,462057,Bedok
157,2021-05-17,1940h - 2015h,West Mall (1 Bukit Batok Central Link),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24,103.74902197661801,1.35018916560505,658713,Bukit Batok
158,2021-05-17,2025h - 2105h,Viva Business Park (750A Chai Chee Road) ,Decathlon Bedok,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.922124606113,1.32297820248267,469001,Geylang
159,2021-05-16,0845h - 0915h,Sheng Siong Supermarket (52 Chin Swee Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20,103.841580109275,1.28708278284997,160052,Outram
160,2021-05-16,0915h - 0955h,Sheng Siong Supermarket (4 Toa Payoh Lorong 7),,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.85554106336001,1.33904479783226,310004,Toa Payoh
161,2021-05-16,0950h - 1030h,Great World City (1 Kim Seng Promenade) ,MEIDI-YA Supermarket,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20,103.831975865363,1.29347596207041,NIL,River Valley
162,2021-05-16,1000h - 2200h,KFC (35 Jalan Mas Puteh),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21,103.762278702257,1.30844135523806,128635,Clementi
163,2021-05-16,1015h - 1100h,Prime Supermarket (823 Tampines Street 81),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21,103.934010232785,1.3487328451896798,520823,Tampines
